2026-06-18 11:16:42.192 OrderService.placeOrderAsync | UserID: 9 | Args: (9) | Duration: 2408 ms | CPU Load: 14.33 %
2026-06-18 11:16:50.039 OrderService.placeOrderAsync | UserID: 54 | Args: (54) | Duration: 1150 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.039 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 54 | Args: (54) | Duration: 1150 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.052 OrderService.placeOrderAsync | UserID: 55 | Args: (55) | Duration: 1153 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.052 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 55 | Args: (55) | Duration: 1153 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.082 OrderService.placeOrderAsync | UserID: 56 | Args: (56) | Duration: 1166 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.082 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 56 | Args: (56) | Duration: 1166 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.100 OrderService.placeOrderAsync | UserID: 57 | Args: (57) | Duration: 1170 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.100 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 57 | Args: (57) | Duration: 1170 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.111 OrderService.placeOrderAsync | UserID: 58 | Args: (58) | Duration: 1178 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.111 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 58 | Args: (58) | Duration: 1178 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.121 OrderService.placeOrderAsync | UserID: 59 | Args: (59) | Duration: 1174 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.121 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 59 | Args: (59) | Duration: 1174 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.128 OrderService.placeOrderAsync | UserID: 60 | Args: (60) | Duration: 1153 ms | CPU Load: 0.00 %
2026-06-18 11:16:50.128 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 60 | Args: (60) | Duration: 1153 ms | CPU Load: 0.00 %
